1000	4000
1000	4000
996	3984
996	3984
992	3968
992	3968
988	3952
988	3952
984	3936
984	3936
980	3920
980	3920
976	3904
976	3904
972	3888
972	3888
968	3872
968	3872
964	3856
964	3856
960	3840
960	3840
956	3824
956	3824
952	3808
952	3808
948	3792
948	3792
944	3776
944	3776
940	3760
940	3760
936	3744
936	3744
932	3728
932	3728
928	3712
928	3712
924	3696
924	3696
920	3680
920	3680
916	3664
916	3664
912	3648
912	3648
908	3632
908	3632
904	3616
904	3616
900	3600
1400	3600
1394.4	3585.6
1394.4	3585.6
1388.8	3571.2
1388.8	3571.2
1383.2	3556.8
1383.2	3556.8
1377.6	3542.4
1377.6	3542.4
1372	3528
1372	3528
1366.4	3513.6
1366.4	3513.6
1360.8	3499.2
1360.8	3499.2
1355.2	3484.8
1355.2	3484.8
1349.6	3470.4
1349.6	3470.4
1344	3456
1344	3456
1338.4	3441.6
1338.4	3441.6
1332.8	3427.2
1332.8	3427.2
1327.2	3412.8
1327.2	3412.8
1321.6	3398.4
1321.6	3398.4
1316	3384
1316	3384
1310.4	3369.6
1310.4	3369.6
1304.8	3355.2
1304.8	3355.2
1299.2	3340.8
1299.2	3340.8
1293.6	3326.4
1293.6	3326.4
1288	3312
1288	3312
1282.4	3297.6
1282.4	3297.6
1276.8	3283.2
1276.8	3283.2
1271.2	3268.8
1271.2	3268.8
1265.6	3254.4
1265.6	3254.4
1260	3240
1760	3240
1752.96	3227.04
1752.96	3227.04
1745.92	3214.08
1745.92	3214.08
1738.88	3201.12
1738.88	3201.12
1731.84	3188.16
1731.84	3188.16
1724.8	3175.2
1724.8	3175.2
1717.76	3162.24
1717.76	3162.24
1710.72	3149.28
1710.72	3149.28
1703.68	3136.32
1703.68	3136.32
1696.64	3123.36
1696.64	3123.36
1689.6	3110.4
1689.6	3110.4
1682.56	3097.44
1682.56	3097.44
1675.52	3084.48
1675.52	3084.48
1668.48	3071.52
1668.48	3071.52
1661.44	3058.56
1661.44	3058.56
1654.4	3045.6
1654.4	3045.6
1647.36	3032.64
1647.36	3032.64
1640.32	3019.68
1640.32	3019.68
1633.28	3006.72
1633.28	3006.72
1626.24	2993.76
1626.24	2993.76
1619.2	2980.8
1619.2	2980.8
1612.16	2967.84
1612.16	2967.84
1605.12	2954.88
1605.12	2954.88
1598.08	2941.92
1598.08	2941.92
